iter	Logloss
0	0.6571995307
1	0.6364898557
2	0.6247269131
3	0.6176649345
4	0.6130740369
5	0.6098078371
6	0.6070537219
7	0.6045735349
8	0.6036805028
9	0.6026547399
10	0.6016376633
11	0.600473478
12	0.5999001744
13	0.5989016551
14	0.5983921424
15	0.5979305922
16	0.597433951
17	0.5971526035
18	0.5968037551
19	0.5963575229
20	0.5961881247
21	0.5957547149
22	0.5954173594
23	0.5950705581
24	0.5948798584
25	0.5946885514
26	0.594406583
27	0.5940845652
28	0.5938103053
29	0.5937426655
30	0.5935247327
31	0.5931434187
32	0.5922586551
33	0.5918381799
34	0.5916850245
35	0.5913692424
36	0.5910547921
37	0.590910547
38	0.5907835843
39	0.5907772076
40	0.5905770565
41	0.5903275663
42	0.5902147814
43	0.5900617079
44	0.5898365732
45	0.5896067679
46	0.5892838955
47	0.5891804102
48	0.5888284601
49	0.5886709716
50	0.5882722759
51	0.588046336
52	0.5877848239
53	0.5875280831
54	0.5869086191
55	0.5866983889
56	0.5862788558
57	0.5860124117
58	0.5857891489
59	0.5856506836
60	0.5853160277
61	0.5849466063
62	0.5848000127
63	0.5845716835
64	0.5842240626
65	0.5838917125
66	0.5836909019
67	0.5835986798
68	0.5831750783
69	0.5830805081
70	0.582815065
71	0.5825079429
72	0.5823984092
73	0.5820395602
74	0.5818123287
75	0.5817649125
76	0.5816289566
77	0.5814019436
78	0.581060826
79	0.5807554483
80	0.580516935
81	0.5802219981
82	0.5800128933
83	0.5796501044
84	0.5795134976
85	0.5792649805
86	0.5789811873
87	0.5787506882
88	0.5785426268
89	0.578372084
90	0.5782980015
