iter	Passed	Remaining
0	262	25958
1	358	17581
2	476	15400
3	581	13952
4	705	13400
5	819	12845
6	923	12270
7	1026	11803
8	1136	11494
9	1241	11176
10	1337	10825
11	1449	10630
12	1535	10279
13	1625	9987
14	1723	9768
15	1815	9530
16	1909	9322
17	2010	9158
18	2104	8973
19	2194	8776
20	2283	8589
21	2377	8429
22	2474	8282
23	2568	8132
24	2666	7998
25	2762	7861
26	2857	7725
27	2956	7601
28	3072	7521
29	3125	7293
30	3221	7171
31	3325	7067
32	3421	6946
33	3517	6828
34	3622	6727
35	3729	6630
36	3832	6525
37	3936	6422
38	4051	6337
39	4125	6187
40	4234	6094
41	4335	5987
42	4435	5879
43	4536	5773
44	4637	5667
45	4746	5571
46	4855	5475
47	4961	5374
48	5075	5283
49	5184	5184
50	5284	5076
51	5381	4967
52	5481	4860
53	5591	4763
54	5719	4679
55	5920	4651
56	6152	4641
57	6348	4597
58	6508	4523
59	6685	4457
60	6952	4445
61	7116	4361
62	7223	4242
63	7335	4126
64	7452	4012
65	7557	3893
66	7656	3771
67	7749	3647
68	7845	3524
69	7941	3403
70	8045	3286
71	8145	3167
72	8240	3048
73	8361	2937
74	8482	2827
75	8583	2710
76	8682	2593
77	8787	2478
78	8883	2361
79	8991	2247
80	9089	2132
81	9189	2017
82	9294	1903
83	9391	1788
84	9498	1676
85	9597	1562
86	9704	1450
87	9814	1338
88	9912	1225
89	10022	1113
90	10133	1002
