,count,unique,top,freq,mean,min,25%,50%,75%,max,std
year,157081.0,,,,2022.9742998834995,2020.0,2022.0,2023.0,2024.0,2025.0,1.520346784699268
tourney_id,157081,4604,2022-540,239,,,,,,,
tourney_name,157081,1719,M15 Monastir,8131,,,,,,,
surface,157081,7,Hard,82192,,,,,,,
draw_size,157081.0,,,,37.34966036630783,2.0,32.0,32.0,32.0,128.0,21.20845223118974
tourney_level,157081,9,15,54140,,,,,,,
tourney_date,157081,,,,2023-06-20 05:57:23.652638464,2020-01-06 00:00:00,2022-04-25 00:00:00,2023-07-24 00:00:00,2024-09-23 00:00:00,2025-12-29 00:00:00,
match_num,157081.0,,,,240.28480210846632,1.0,114.0,247.0,300.0,1701.0,121.42465001628265
winner_id,157081.0,,,,170154.52918557942,100644.0,123993.0,200598.0,208389.0,214373.0,44503.91827173732
winner_seed,65567.0,,,,5.112815898241493,1.0,2.0,4.0,7.0,33.0,4.006972579514024
winner_entry,28327,16,Q,14987,,,,,,,
winner_name,157081,3777,Carlos Alcaraz,334,,,,,,,
winner_hand,157081,5,R,124733,,,,,,,
winner_ht,157081.0,,,,184.38652669641777,3.0,180.0,185.0,188.0,211.0,9.758772944541684
winner_ioc,157081,121,FRA,14282,,,,,,,
winner_age,157081.0,,,,24.782656718508285,14.3,21.7,24.3,27.2,48.2,4.137471248562998
loser_id,157081.0,,,,172996.8295019767,100644.0,126125.0,202209.0,209291.0,214373.0,44260.239942469205
loser_seed,36205.0,,,,5.89241817428532,1.0,3.0,5.0,7.0,33.0,4.4552302508303745
loser_entry,49557,17,Q,24238,,,,,,,
loser_name,157081,6180,Maxime Janvier,207,,,,,,,
loser_hand,157081,5,R,113787,,,,,,,
loser_ht,157081.0,,,,184.27150323718337,3.0,180.0,185.0,188.0,211.0,9.373827039750218
loser_ioc,157074,163,ITA,13621,,,,,,,
loser_age,157081.0,,,,24.58742877878292,14.1,21.4,24.1,27.1,49.8,4.289767099425399
best_of,157081.0,,,,3.038489696398673,3.0,3.0,3.0,3.0,5.0,0.2747697521601484
round,157081,12,R32,65708,,,,,,,
winner_rank,151636.0,,,,533.1830501991611,1.0,228.0,450.0,732.0,2222.0,407.2917891844657
winner_rank_points,151636.0,,,,326.63347753831545,1.0,32.0,91.0,254.0,12113.0,894.137292642212
loser_rank,141643.0,,,,660.4631008945024,1.0,254.0,545.0,960.0,2226.0,502.20303282347885
loser_rank_points,141643.0,,,,234.49524508800295,1.0,14.0,63.0,219.0,12113.0,574.2257377830136
match_category,157081,3,futures,86680,,,,,,,
b365w,11254.0,,,,1.8721488359694332,0.971,1.2925,1.57,2.1,29.0,1.1363470266508404
b365l,11254.0,,,,3.377273680469166,0.967,1.72,2.38,3.5,67.0,3.4167748649616696
psw,11197.0,,,,1.9243615254085917,0.0,1.31,1.6,2.18,30.5,1.136272954170574
psl,11197.0,,,,3.6565008484415467,0.0,1.76,2.49,3.77,90.33,4.193860921259846
maxw,11291.0,,,,1.9836719511115046,1.01,1.33,1.63,2.25,30.5,1.2292614300868974
maxl,11291.0,,,,3.9077548489947747,1.03,1.8,2.59,3.92,90.33,4.962421195974327
avgw,11291.0,,,,1.8566185457443984,1.0,1.29,1.56,2.12,19.0,0.9865855755937124
avgl,11291.0,,,,3.284188291559649,1.01,1.71,2.4,3.55,34.68,2.9035523710842663
bfew,436.0,,,,2.061903669724771,1.01,1.4,1.665,2.26,23.0,1.5955118949074305
bfel,436.0,,,,4.1439449541284405,1.04,1.77,2.46,3.4125,80.0,6.758752692973688
